운행순번,장양리시내버스공영정류장발,회촌발,구분,비고
1,-,6:33,공통,
2,6:05,7:38,공통,
3,6:35,8:13,공통,
4,7:05,8:48,공통,
5,7:27,9:08,공통,
6,7:50,9:30,공통,
7,8:37,10:08,공통,
8,8:55,10:33,공통,
9,9:25,11:03,공통,
10,9:50,11:25,공통,
11,10:10,11:43,공통,
12,10:40,12:23,공통,
13,11:10,12:53,공통,
14,11:42,13:28,공통,
15,12:07,13:58,공통,
16,12:32,14:18,공통,
17,13:12,14:53,공통,
18,13:45,15:23,공통,
19,14:07,15:38,공통,
20,14:30,16:13,공통,
21,15:05,16:48,공통,
22,15:30,17:08,공통,
23,15:50,17:43,공통,
24,16:10,18:00,공통,
25,16:30,18:23,공통,
26,17:10,18:48,공통,
27,17:25,19:08,공통,
28,17:50,19:28,공통,
29,18:15,19:53,공통,
30,18:37,20:28,공통,
31,19:17,20:58,공통,
32,19:40,21:18,공통,
33,20:00,-,공통,
34,20:10,-,공통,
35,20:22,-,공통,
