운행순번,장양리시내버스공영정류장발,회촌발,구분,비고
1,-,6:45,공통,
2,6:10,7:48,공통,
3,6:42,8:18,공통,
4,7:05,8:48,공통,
5,7:30,9:13,공통,
6,7:55,9:38,공통,
7,8:25,10:03,공통,
8,8:52,10:30,공통,
9,9:20,11:03,공통,
10,9:50,11:28,공통,
11,10:20,12:03,공통,
12,10:50,12:28,공통,
13,11:15,12:53,공통,
14,11:40,13:18,공통,
15,12:05,13:58,공통,
16,12:50,14:28,공통,
17,13:17,15:05,공통,
18,13:52,15:33,공통,
19,14:17,16:00,공통,
20,14:42,16:20,공통,
21,15:07,16:53,공통,
22,15:30,17:23,공통,
23,16:10,17:58,공통,
24,16:40,18:15,공통,
25,17:05,18:53,공통,
26,17:47,19:28,공통,
27,18:10,19:58,공통,
28,18:35,20:13,공통,
29,18:55,20:28,공통,
30,19:20,21:03,공통,
31,20:05,-,공통,
32,20:20,-,공통,
33,20:35,-,공통,
34,20:47,-,공통,
