운행순번,장양리시내버스공영정류장발,연세대발,구분,비고
1,통학1번,-,공통,
2,통학11번,8:45,공통,
3,-,6:32,공통,
4,6:25,7:40,공통,
5,6:45,8:15,공통,
6,7:15,8:35,공통,
7,8:15,9:33,공통,
8,8:42,10:08,공통,
9,9:37,10:58,공통,
10,10:30,11:48,공통,
11,10:50,12:18,공통,연세대발)원주역
12,11:20,12:43,공통,
13,11:55,13:18,공통,
14,12:20,13:48,공통,
15,13:00,14:18,공통,
16,13:25,14:43,공통,
17,13:55,15:15,공통,연세대발)원주역
18,14:42,16:13,공통,
19,15:17,16:38,공통,
20,16:20,17:43,공통,
21,16:55,18:23,공통,
22,18:02,19:28,공통,
23,18:25,19:53,공통,
24,18:50,20:13,공통,연세대발)원주역
25,19:30,20:53,공통,
26,20:35,-,공통,
27,20:55,-,공통,
28,21:05,-,공통,
